強		ゆみ キョウ ゆみへん しいる つよまる ゴウ つよめる ごう きょう こわい つよい
教		ぼくづくり キョウ おしえる ぼくにょう おそわる のぶん とまた きょう しぶん
郷	鄕	キョウ むら きょう さと ごう おおざと ゴウ
境		つちへん けい ケイ キョウ さかい きょう つち
橋		き キョウ きょう はし きへん
矯		ためる やへん キョウ や きょう
鏡		かねへん けい ケイ キョウ かね かがみ きょう
競		けい ケイ キョウ たつ くらべる たつへん きょう せる きそう
響	響	ひびく おと キョウ おとへん きょう
驚		うまへん キョウ おどろかす うま きょう おどろく
仰		おっしゃる にんべん おおせ ひとがしら ギョウ ぎょう こう ひとやね ひと あおぐ コウ
暁	曉	にち にちへん キョウ ギョウ ぎょう さとる あかつき ひ きょう ひへん
業		き ギョウ ぎょう ゴウ ごう わざ きへん
凝		こごらせる ギョウ ぎょう こごらす にすい こごる こる こらす
曲		ひらび きょく くま まがる いわく キョク まげる
局		かばねだれ きょく かばね しかばね しかばねかんむり キョク つぼね
極		きわまる きわみ きょく き きめる きまる ぎめ ゴク きわまり ごく きわめる キョク きへん
玉		たま おうへん ぎょく だま たまへん ギョク
巾		きん きんへん キン おおい ふく きんべん はばへん ちきり フク きれ はば
斤		おの おのづくり きん キン
均		きん つちへん キン ならす つち
近		きん こん ちかい しんにゅう コン キン しんにょう
金		かねへん かな きん ゴン こん キン コン かね ごん がね
菌		そうこう きん キン くさ くさかんむり
勤	勤	きん ゴン キン ごん いそしむ づとめ つとまる ちから つとめる
琴		たま きん ゴン おうへん キン ごん こと たまへん
筋		きん すじ キン たけ たけかんむり
僅		きん にんべん ゴン ひとがしら キン ごん ひとやね わずか ひと
禁		きん キン しめすへん ねへん しめす
緊		きん いとへん キン いと しまる しめる
錦		かねへん きん キン かね にしき
謹	謹	ことば つつしむ きん キン ごんべん げん ゲン
襟		きん えり キン ころもへん ころも
吟		くちへん くち ギン ぎん
銀		かねへん ギン しろがね かね ぎん
区	區	オウ ク おう こう コウ く かくしがまえ
句		くちへん くち ク く
苦		そうこう くるしい く にがる くるしむ ク くるしめる ぐるしい にがい くさ くさかんむり
駆	驅	かる うまへん うま かける ク く
具		つぶさに はち そなえる ハチ グ ぐ はちがしら
惧		グ りっしんべん ぐ ク こころ したごころ く おそれる
愚		おろか グ りっしんべん ぐ こころ したごころ
空		そら くう むなしい から あける あな あなかんむり すかす あく クウ すく あき
偶		たま にんべん ひとがしら ひとやね ひと グウ ぐう
遇		あう しんにゅう しんにょう グウ ぐう
隅		おか こざとへん グウ ぐう すみ
串		つらぬく くし たてぼう セン かん けん せん ぼう カン ケン
屈		かばねだれ かばね かがめる くつ しかばね しかばねかんむり かがむ クツ
掘		てへん くつ て ほる クツ
窟		こつ いわや あな あなかんむり くつ コツ いはや クツ
熊		ユウ くま れっか ひ ゆう れんが ひへん
繰		いとへん そう ソウ いと くる
君		きみ くん くちへん クン くち ぎみ
訓		くん よむ ことば きん クン おしえる ごんべん キン げん ゲン くんずる
勲	勳	ちから クン いさお くん
薫	薰	そうこう くん クン かおる くさ くさかんむり
軍		いくさ グン くるま くるまへん ぐん
郡		グン むら こおり おおざと ぐん
群		むらがる むれ ひつじへん グン むら ひつじ むれる ぐん
兄		あに けい ケイ キョウ きょう にんにょう ひとあし
刑		ケイ かたな りっとう けい
形		けい ケイ かたち ギョウ かみかざり なり ぎょう がた かた けかざり さんづくり
系		ケイ いとへん いと けい
径	徑	こみち けい ケイ みち ぎょうにんべん ただちに さしわたし
茎	莖	そうこう けい ケイ キョウ くき きょう くさ くさかんむり
係		がかり かかり にんべん けい ひとがしら ケイ ひとやね かかる かかわる ひと
型		つちへん けい ケイ がた かた つち
契		だい けい ケイ だいかんむり ちぎる ダイ だいかしら
計		ことば けい ケイ はかる ごんべん げん ゲン はからう
恵	惠	めぐみ けい ケイ りっしんべん めぐむ え こころ エ したごころ
啓		けい ひらく くちへん ケイ さとす くち
掲	揭	てへん ケイ けい かかげる て
渓	溪	たにがわ さんずい けい ケイ したみず たに みず
経	經	きん けい ケイ はかる キョウ キン いとへん たつ いと のり きょう へる たていと
蛍	螢	むしへん けい ケイ むし ほたる
敬		うやまう けい ぼくづくり キョウ ケイ ぼくにょう とまた のぶん きょう しぶん
景		にち けい にちへん ケイ ひ ひへん
軽	輕	かるい きん けい ケイ キン キョウ くるま かろんじる くるまへん きょう かろやか
傾		かたむける かたむく にんべん けい ひとがしら ケイ かたげる ひとやね ひと かしげる かたぶく
携		たずさわる てへん けい ケイ たずさえる て
継	繼	けい ケイ いとへん いと つぐ まま
詣		ことば けい まいる いたる げい ごんべん けいする ケイ げん ゲン ゲイ もうでる
慶		よろこび けい ケイ りっしんべん こころ したごころ
憬		あこがれる けい ケイ りっしんべん こころ したごころ
稽		いね のぎへん のぎ けい ケイ かんがえる いねへん とどめる
憩		けい ケイ いこう いこい りっしんべん こころ したごころ
